Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Brand-X;Road Bike;299,99;Road;11.5kg (Medium);M, XL, S, XS, L;Shimano Tourney;7 Speed;Steel;Tektro R312 rim brakes
Vitus;Dee City Bike (Tourney) 2021;349,99;Hybrid - City;18.3kg;L, M;Shimano Tourney, RD-A070, 7 Speed;7 Speed;"Vee, Hi-Ten Steel, 1 1/8"" Steerer, Mudguard Mounts, QR";Alhonga, Front: 160mm, Rear: 160mm
Cube;Aim Pro 27.5 Hardtail Bike 2021;449;Mountain;14.4kg;"40cm (16""), 14"", 36cm (14""), 16.25""";Shimano Tourney RD-TX800, 8-Speed;24 Speed;SR Suntour XCE, 100mm;Tektro HD-M275, Hydr. Disc Brake (160/160)
Cube;Aim Pro 29 Hardtail Bike 2021;449;Mountain;14.4kg;"48cm (19""), 43.5cm (17""), 53cm (21""), 59cm (23""), 21""";Shimano Tourney RD-TX800, 8-Speed;24 Speed;SR Suntour XCE, 100mm;Tektro HD-M275, Hydr. Disc Brake (160/160)
Cube;Access WS EAZ 27.5 Hardtail Bike 2021;499;Mountain;14.5kg;"40cm (16""), 33cm (13"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour XCT Disc, 100mm;Tektro HD-M275, Hydr. Disc Brake (160/160mm rotors)
Cube;Aim Race 27.5 Hardtail Bike 2021;499;Mountain;14.3kg;"40cm (16""), 36cm (14"")";Shimano RD-M360-SGS, 8-Speed;24 Speed;SR Suntour XCM Disc, 100mm, Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Aim Race 29 Hardtail Bike 2021;499;Mountain;14.3kg;"21"", 59cm (23""), 43.5cm (17""), 53cm (21""), 48cm (19"")";Shimano RD-M360-SGS, 8-Speed;24 Speed;SR Suntour XCM Disc, 100mm, Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Nature Urban Bike 2021;549;Hybrid - City;14.4 kg;"54cm (21"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour NEX HLO, 63mm, Lockout;Tektro HD-M275, Hydr. Disc Brake (160/160)
Kona;Dew Urban Bike 2021;549;Hybrid - City;14.4 kg;L, M, S, XL;Shimano Altus, 8-Speed;24 Speed;Kona Project Two Disc;"Tektro M280 mechanical disc; Rotors: 160mm"
Kona;Lava Dome Hardtail Bike 2021;549;Mountain;14.2kg;M, S, L, XL;Microshift Advent W/ Clutch;9 Speed;SR Suntour XCR 32 Lo-r Coil Spring 100mm;Tektro Tr180 180mm
Vitus;Nucleus 27 VR Bike (Altus 2x9) 2020;549,99;Mountain;14.32kg (approx);M;Shimano Altus RD-M2000, SGS 9-Speed, Shadow Design;18 Speed;"SR Suntour XCR32 Boost Air 120mm 27.5""";"Tektro HD-M29 Wave Style Rotor; Rotor: 180mm"
Cube;Aim SL 29 Hardtail Bike 2021;599;Mountain;14.4 kg;"48cm (19""), 59cm (23""), 43.5cm (17""), 53cm (21"")";Shimano RD-M3100, 9-Speed;27 Speed;SR Suntour XCM Rl Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Touring Bike 2021;649;Hybrid - City;16.5kg;"54cm (21""), 50cm (19.5""), 58cm (22.75"")";Shimano Altus RD-M310, 8-Speed;24 Speed;SR Suntour NEX, 63mm travel;V-Brakes
Cube;Touring Easy-Entry Bike 2021;649;Hybrid - City;16.5kg;"53.5cm (21""), 49.5cm (19.5"")";Shimano RD-M310, 8-Speed;24 Speed;SR Suntour NEX, 63mm travel;V-Brake
Cube;Touring Trapeze Bike 2021;649;Hybrid - City;16.5kg;"54cm (21""), 50cm (19.5""), 46cm (18"")";Shimano RD-M310, 8-Speed;24 Speed;SR Suntour NEX, 63mm;V-Brake
Ghost;Square Trekking 4.8 W Urban Bike 2020;659,99;Hybrid - City;17.3kg;S;Shimano Deore RD-M592 9-S;24 Speed;SR Suntour SF16 NEX HLO-DS 63 mm;Tektro HD-M285 2/2 Piston 160 mm Disc
Cube;Aim SL 27.5 Allroad Hardtail Bike 2021;699;Mountain;16.7 kg;"36cm (14""), 40cm (16"")";Shimano RD-M3100, 9-Speed;27 Speed;SR Suntour XCM RL Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Aim SL 29 Allroad Hardtail Bike 2021;699;Mountain;16.7 kg;"43.5cm (17""), 53cm (21""), 59cm (23""), 48cm (19"")";Shimano RD-M3100, 9-speed;27 Speed;SR Suntour XCM RL Disc, 100mm, remote lockout;Shimano BR-MT200, Hydr.Disc Brake (160/160)
Cube;Analog 29 Hardtail Bike 2021;699;Mountain;14.1kg;"48cm (19""), 53cm (21""), 43.5cm (17"")";SRAM SX Eagle, 12-Speed;12 Speed;SR Suntour XCM RL Disc, 100mm, Remote Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160)
Cube;Attain Road Bike 2021;699;Road;9.6kg;"60cm (23.5""), 58cm (22.75""), 47cm (18.5""), 56cm (22""), 53.5cm (21""), 50cm (19.5"")";Shimano Claris RD-R2000-GS, 8-Speed;16 Speed;"CUBE CSL Race, Full Carbon, 1 1/8""-1 1/4"" Tapered";Shimano Claris BR-R2000
Cube;Axial WS Road Bike 2021;699;Road;9.4 kg;"53.5cm (21""), 50cm (19.5""), 47cm (18.5""), 56cm (22"")";Shimano Claris RD-R2000-GS, 8-speed;22 Speed;"CUBE CSL Race, One Piece 3D Forged Steerer / Crown, Carbon Blades, 1 1/8 ""- 1 1/4"" Tapered";Shimano Claris BR-R2000 Caliper Rim
Cube;SL Road Bike 2021;699;Road;10.8kg;"53.5cm (21""), 50cm (19.5""), 56cm (22""), 59cm (23"")";Shimano Claris RD-R2000-SS, 8-Speed;16 Speed;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors)
Vitus;Razor W Disc Road Bike (Claris) 2021;699,99;Road;7.8kg;S, XXS, M, L, XS;Shimano Claris R2000 RD-R2000, 8 Speed;8 Speed;Razor Carbon UD Carbon, Tapered Aluminium Steerer, Mudguard Mounts, Flat Mount, 12 x 100mm Axle;Tektro MD-C310 Disc Brake Flat Mount, Cable Actuated
Cube;Touring Pro Bike 2021;749;Hybrid - City;17.1kg;"54cm (21""), 50cm (19.5""), 58cm (22.75""), 62cm (24.5"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour NEX HLO, 63mm travel, Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160mm rotors)
Cube;Touring Pro Trapeze Bike 2021;749;Hybrid - City;17.1kg;"50cm (19.5""), 46cm (18""), 54cm (21"")";Shimano RD-M360, 8-Speed;24 Speed;SR Suntour NEX HLO, 63mm travel, Lockout;Shimano BR-MT200, Hydr. Disc Brake (160/160mm rotors)
Cube;Attention 29 Hardtail Bike 2021;799;Mountain;13.7kg;"53cm (21""), 43.5cm (17""), 59cm (23""), 48cm (19"")";Shimano Deore RD-M4120-SGS, 10-Speed;20 Speed;RockShox Judy Silver TK AIR, 100mm, PopLoc;Shimano BR-MT200, Hydr. Disc Brake (180/160)
Cube;Attention Hardtail Bike 2021;799;Mountain;13.7kg;"48cm (19""), 59cm (23""), 53cm (21"")";Shimano Deore RD-M4120-SGS, 10-Speed;20 Speed;RockShox Judy Silver TK AIR, 100mm, PopLoc;Shimano BR-MT200, Hydr. Disc Brake (180/160)
Cube;Attain Pro Road Bike 2021;849;Road;10.3kg;"53.5cm (21""), 50cm (19.5""), 58cm (22.75""), 47cm (18.5""), 60cm (23.5""), 56cm (22"")";Shimano Sora RD-R3000, 9-Speed;18 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Octane One;Sour All Mountain Hardtail Bike 2021;899;Mountain;13.5kg;M, L, S;Shimano Deore RD-M6000 10sp;------;Suntour XCR34 Air 140mm, LOR-DS;Shimano MT-200 / 180mm rotor
Cube;Axial WS Pro Road Bike 2021;899;Road;10.3kg;"56cm (22""), 50cm (19.5""), 53.5cm (21"")";Shimano Sora RD-R3000, 9-Speed;18 Speed;"CUBE CSL Race Disc, One Piece 3D-Forged Steerer/Crown, Carbon Blades, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Cube;SL Road Pro Bike 2021;899;Road;10.9kg;"56cm (22""), 62cm (24.5"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors)
Cube;Acid 29 Hardtail Bike 2021;999;Mountain;13.5kg;"48cm (19""), 43.5cm (17""), 53cm (21"")";SRAM NX Eagle, 12-Speed;12 Speed;RockShox Judy Silver TK Air, 100mm, PopLoc;Shimano BR-MT400, Hydr. Disc Brake (180/160)
Cube;Attain Race Road Bike 2021;999;Road;10.1kg;"62cm (24.5""), 53.5cm (21""), 58cm (22.75""), 50cm (19.5"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Cube;Nuroad Pro Road Bike 2021;999;Road;10.6 kg;"53.5cm (21""), 56cm (22""), 50cm (19.5""), 61cm (24""), 58cm (22.75"")";Shimano Tiagra Rd-4700gs, 10-speed;20 Speed;"Cube Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";TRP Spyre Md-c610c, Flat Mount (160/160)
Commencal;Meta HT AM Origin 27.5 Hardtail Bike 2021;1099;Mountain;14.2kg / 31lbs 4.9oz;L, M, XL;Shimano Deore, 10-speed;10 Speed;RockShox 35 Silver R, 160mm travel, coil spring, rebound adjust, 44mm offset;"Levers: Tektro HD-M275; Calipers: Tektro HD-M275, 2-piston; Rotors: Tektro 6-bolt rotors (203mm front, 180mm rear)"
Cube;SL Road Race Bike 2021;1099;Road;10.1kg;"50cm (19.5""), 56cm (22""), 53.5cm (21"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors)
Nukeproof;Scout 275 Race Bike (Deore10) 2021;1099,99;Mountain;13.26kgs/29.2lbs (Tubeless);XL, S, M, L;Shimano M5120 Deore 10-Speed;10 Speed;RockShox Recon RL 140mm, 46mm Offset, Solo air, Gloss Black;Shimano MT4100 Lever with Shimano MT410 2 Pot Caliper, Resin Pads
Nukeproof;Scout 290 Race Bike (Deore10) 2021;1099,99;Mountain;13.5kgs/29.6lbs (Tubeless);XL, M, L;Shimano M5120 Deore 10-Speed;10 Speed;RockShox Recon RL 130mm, 42mm Offset, Solo air, Gloss Black;Shimano MT4100 Lever with Shimano MT410 2 Pot Caliper, Resin Pads
Cube;Reaction Pro Hardtail Bike 2021;1199;Mountain;13.1kg;"43.5cm (17""), 53cm (21"")";Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Judy Silver TK Air, PopLoc, 100mm travel;Shimano XT BR-M8100 hydraulic disc brakes, 180/160mm rotors
Cube;Nuroad Pro FE Road Bike 2021;1199;Road;11.9 kg;"50cm (19.5""), 61cm (24""), 56cm (22""), 53.5cm (21"")";Shimano Tiagra RD-4700GS, 10-Speed;20 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";TRP Spyre MD-C610C, Flat Mount (160/160)
Vitus;Zenium CR Road Bike (105) 2020;1199,99;Road;9.3kg;M;Shimano 105 RD-R7000-GS, 11-Speed, Direct Mount;22 Speed;UD Carbon Full Carbon tapered steerer, 100 x 12mm;Shimano 105 ST-R7020 & BR-R7070, Hydraulic
Cube;Attain SL Road Bike 2021;1299;Road;10.0kg;"50cm (19.5""), 58cm (22.75""), 60cm (23.5""), 56cm (22""), 53.5cm (21"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Cube;Axial WS Race Road Bike 2021;1299;Road;9.9 kg;"50cm (19.5""), 53.5cm (21""), 56cm (22""), 47cm (18.5"")";Shimano 105 RD-R7000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, One Piece 3D-Forged Steerer/Crown, Carbon Blades, 1 1/8"" - 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Cube;Nuroad Race Road Bike 2021;1399;Road;10.4kg;"61cm (24""), 53.5cm (21""), 56cm (22""), 50cm (19.5"")";Shimano GRX RD-RX810, Direct Mount, 11-Speed;22 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";Shimano BR-RX400, Hydr. Disc Brake, Flat Mount (160/160)
Rondo;Booz ST Urban Bike 2020;1449,99;Hybrid - City;10.5kg;M;SRAM NX Eagle 1, 11-Speed;11 Speed;Twintip Carbon;Shimano BR405
Cube;SL Road SL Bike 2021;1499;Road;9.7kg;"62cm (24.5""), 53.5cm (21"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;CUBE TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Shimano BR-RS405, Hydr. Disc Brake, Flat Mount (160/160)
Nukeproof;Scout 275 Comp Bike (Deore12) 2021;1549,99;Mountain;13.3kgs/29.3lbs (Tubeless);M, XL, S, L;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 140mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6SZ);Shimano Deore M6120 4 pot hydraulic disc brakes, Resin Pads
Nukeproof;Scout 290 Comp Bike (Deore12) 2021;1549,99;Mountain;13.47kgs/29.6lbs (Tubeless);M, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 130mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6SY);Shimano Deore M6120 4 pot brake, Resin Pads
Cube;Nuroad Race FE Road Bike 2021;1599;Road;9kg;"53.5cm (21""), 58cm (22.75""), 56cm (22""), 61cm (24"")";Shimano GRX RD-RX810, Direct Mount, 11-Speed;22 Speed;"CUBE Nuroad Flat Mount Disc, Full Carbon, 1 1/8"" - 1 1/4"" Tapered, Fender & Lowrider Mounts, 12x100mm";Shimano BR-RX400, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Vitesse EVO CR Road Bike (105) 2020;1599,99;Road;11.7 kg;XS;Shimano 105 R7000-GS, 11-Speed, Direct Mount;22 Speed;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, 140mm Rotor, Resin pad with cooling fin
Cube;Reaction C:62 Pro Hardtail Bike 2021;1699;Mountain;11.6kg;"43.5cm (17""), 53cm (21""), 48cm (19""), 59cm (23"")";Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Judy Gold RL Air, 100mm, PopLoc, 15x110mm;Shimano XT BR-M8100, Hydr. Disc Brake (180/160)
Vitus;ZX1 CR Road Bike (105) 2020;1699,99;Road;8.41kg (medium);XS;Shimano 105 R7000-SS, 11-Speed, Direct Mount;22 Speed;Integrated UD Carbon, Full Carbon tapered steerer, 100 x 12mm;Shimano 105 R7000 Hydraulic ST-R7020 & BR-R7070, Resin pad with cooling fin
Cube;Stereo 120 Race 29 Suspension Bike 2021;1999;Mountain;14.6kg;L, M, XL;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Recon Gold RL Air, Tapered, 15x110mm, 130mm travel;Shimano BR-MT500, Hydr. Disc Brake (180/180mm rotors)
Cube;Attain GTC SL Road Bike 2021;1999;Road;8.02kg (medium);"58cm (22.75""), 56cm (22""), 60cm (23.5""), 62cm (24.5""), 53.5cm (21"")";Shimano Ultegra RD-R8000-DGS, 11-Speed;22 Speed;"CUBE CSL Race Disc, Full Carbon, Flat Mount, 1 1/8"" - 1 1/4"" Tapered, 12x100mm";Shimano 105 BR-R7070, Hydr. Disc Brake, Flat Mount (160/160)
Vitus;Escarpe 27 CR Mountain Bike 2021;1999,99;Mountain;14.85kg (Medium frame, tubeless setup);M, XL, S, L;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;Marzocchi Bomber Z2 27.5” Rail damper, Float air spring, 34mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano MT420
Vitus;Escarpe 29 CR Mountain Bike 2021;1999,99;Mountain;15.15kg (Medium frame, Tubeless setup);L, S, XL, M;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;Marzocchi Bomber Z2 29” Rail damper, Float air spring, 34mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano MT420
Vitus;Zenium CRS Road Bike (Ultegra) 2021;1999,99;Road;8.8kg;L, S, XL, XXL, XS, M;Shimano Ultegra R8000 RD-R8000, 11 Speed, Long Cage;11 Speed;Zenium Carbon UD Carbon, Tapered Carbon Steerer, Flat Mount, 12 x 100mm Axle;Shimano Ultegra R8000 ST-R8070-R, Flat Mount, Hydraulic
Kona;Sutra LTD Adventure Road Bike 2021;2059;Road;7.8kg;"48cm (19""), 50cm (19.5""), 56cm (22"")";SRAM Rival 1, 11-Speed;11 Speed;Kona Project Two Chromoly Disc Touring fork;SRAM Centerline 160mm
Commencal;Clash Origin Full Suspension Bike 2021;2099;Mountain;15.5kg / 34.17lbs;L, XL, M;Shimano Deore 10-speed;12 Speed;"RockShox Yari RC, 180mm travel, 27.5"", Motion Control damper, Debonair, rebound, Boost (15x110mm), 37mm offset";SRAM Guide T, 4 pistons, matchmaker compatible, Rotors: SRAM G2 CleanSweep 200mm, 6-bolt
Commencal;Meta TR 29 Origin Suspension Bike 2021;2099;Mountain;15.8kg / 34lbs 13.3oz;XL;Shimano Deore, 11-speed;11 Speed;RockShox 35 Silver R, 150mm travel, coil spring, rebound adjust, 42mm offset, 35mm stanchions;Shimano MT-501, 2-piston, Shimano RT66 203mm 6-bolt rotors
Nukeproof;Scout 275 Pro Bike (SLX) 2021;2099,99;Mountain;12.9kgs/28.4lbs (Tubeless);S, XL, L, M;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Lyrik Select Charger RC 150mm, 46mm Offset, BOOST, Debonair, Gloss Black;Shimano SLX M7120, 4 Pot Brake, Resin Pads with Fins
Nukeproof;Scout 290 Pro Bike (SLX) 2021;2099,99;Mountain;12.9kgs/28.5lbs (Tubeless);XL, M, L;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Lyrik Select Charger RC 140mm, 42mm Offset, BOOST, Debonair, Gloss Black;Shimano SLX M7120, 4 Pot Brake, Resin Pads with Fins
NS Bikes;Define AL 130 Suspension Bike 2020;2149,99;Mountain;14.8kg (Medium size with Tubeless setup);L, S, M;SRAM GX Eagle type 3 12-Speed;12 Speed;Fox Performance 34 Float Grip, 140mm travel, 3pos-Adj, Open Mode Adj, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;"Front: SRAM Guide R, 200mm; Rear: SRAM Guide R, 180mm"
