Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Cube;Reaction Hybrid Performance 625 E-Bike 2021;2199;Hybrid - City;23.7 kg;"19"", 43.5cm (17"")";Shimano RD-M3100-SGS, 9-Speed;9 Speed;SR Suntour XCM ATB Coil, 100mm;Shimano BR-MT200, Hydr. Disc Brake (180/180)
NS Bikes;Define AL 150 Suspension Bike 2020;2239,99;Mountain;14.9kg (Medium bike with Tubeless setup);M;SRAM GX Eagle Type 3 12-Speed;12 Speed;Fox Performance 36 Float Grip, 160mm travel, 3pos-Adj, Open Mode Adj, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;"Front: SRAM Guide RE, 200mm; Rear: SRAM Guide RE, 180mm"
Vitus;Sommet 27 CR Mountain Bike 2021;2399,99;Mountain;15.50kg (Tubeless setup);S, M, L, XL;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;RockShox Yari RC 27.5” Motion Control damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano MT520
Vitus;Sommet 29 CR Mountain Bike 2021;2399,99;Mountain;15.77kg (Tubeless setup);S, XL, L, M;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;RockShox Yari RC 29” Motion Control damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 42mm offset;Shimano MT520
Commencal;Clash Ride Full Suspension Bike 2021;2499;Mountain;15.9kg / 35lbs;XL;SRAM SX Eagle, 12-speed;12 Speed;RockShox ZEB,180mm travel, Charger damper, DebonAir spring, rebound adjust, 38mm offset, 38mm stanchions;SRAM Guide T 4-piston, MatchMaker clamps, SRAM G2 Cleansweep 200mm 6-bolt rotors
Nukeproof;Mega 275 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;15.4Kgs/33.9lbs (Tubeless);M, S, XXL, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Yari, Motion Control RC damper, 170mm, 37mm Offset, BOOST, Debonair, Gloss Black;Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Mega 290 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;15.5Kgs/34.2lbs (Tubeless);XL, S, XXL, L, M;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Yari, Motion Control RC damper, 170mm, 42mm Offset, BOOST, Debonair, Gloss Black;Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Reactor 275 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;14.67 kg / 32.3lbs (Medium);M, XL, S, L;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 150mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6S3);Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Reactor 290 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;14.68 kg / 32.3lbs (Tubeless);M, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 140mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6S2);Shimano Deore M6120 4 pot brake, Resin Pads
Vitus;Escarpe 27 CRS Mountain Bike 2021;2699,99;Mountain;14.52kg (Medium frame, tubeless setup);XL, L, M, S;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Pike Select 27.5” Charger RC damper, DebonAir, 35mm stanchions, 150mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Escarpe 29 CRS Mountain Bike 2021;2699,99;Mountain;14.82kg (Medium frame, tubeless setup);M, S, XL, L;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Pike Select 29” Charger RC damper, DebonAir, 35mm stanchions, 150mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Sommet 27 CRS Mountain Bike 2021;2899,99;Mountain;15.25kg (tubeless setup);M, XL, S, L;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Lyrik Select 27.5” Charger RC damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Sommet 29 CRS Mountain Bike 2021;2899,99;Mountain;15.52kg (tubeless setup);S, XL, L, M;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Lyrik Select 29” Charger RC damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 42mm offset;Shimano SLX MT7120
Cube;AMS 100 C:68 Race Suspension Bike 2021;2999;Mountain;12.4kg;M;SRAM GX Eagle™, 12-Speed;12 Speed;RockShox Recon Gold RL Air, Tapered, 15x110mm, 120mm travel;Magura MT Thirty, Front 2-Piston/Rear 2-Piston, Hydr. Disc Brake (180/180)
Cube;Stereo 150 C:62 Race 29 Suspension Bike 2021;2999;Mountain;15.8kg;L, S;SRAM GX Eagle™, 12-Speed;12 Speed;RockShox Lyrik Select, Tapered, 110x15mm, 160mm;Magura MT Thirty, Front 4-Piston/Rear 2-Piston, Hydr. Disc Brake (203/180)
Cube;Stereo 170 Race 29 Suspension Bike 2021;2999;Mountain;13.4 kg;L, XL, M;Sram GX Eagle™, 12-Speed;12 Speed;Fox 38 Float Performance GRIP, 3-Position w/ Micro Adjust, Tapered, 15x110mm, 170mm;Magura MT5, Hydr. Disc Brake (203/180)
NS Bikes;Synonym 2 Suspension Bike 2020;2999;Mountain;12.4kg (M size, tubeless setup);M;SRAM GX Eagle type 3 12-Speed;12 Speed;Fox Performance 34 Step Cast Float Grip, 120mm travel, 2pos remote lockout w/ Open Mode Adj, push-to-unlock, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;SRAM Level T
NS Bikes;Synonym 1 Suspension Bike 2020;3229,99;Mountain;11.8kg (M size, tubeless setup);L, M;SRAM X01 Eagle type 3 12-Speed;12 Speed;Fox Factory 34 Step Cast Float FIT4, 120mm travel, 2pos remote lockout w/ Open Mode Adj, push-to-unlock, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;SRAM Level TL
Cube;Agree C:62 SL Road Bike 2021;3399;Road;7.9kg;"53.5cm (21""), 62cm (24.5""), 58cm (22.75""), 60cm (23.5""), 56cm (22"")";Shimano Ultegra Di2 RD-8050-DGS, 11-Speed;22 Speed;"CUBE CSL Evo Aero C:62 Technology, 1 1/8"" / 1 1/4"" Tapered, Flat Mount, 12x100mm";Shimano Ultegra BR-R8070, Hydr. Disc Brake, Flat Mount (160/160)
Nukeproof;Mega 275 Pro Alloy Bike (GX Eagle) 2021;3399,99;Mountain;14.6Kgs/32.1lbs (Tubeless);XL, S, L, M, XXL;SRAM GX Eagle 12-Speed;12 Speed;RockShox Lyrik Select + Charger 2.1 RC 170mm, 37mm Offset, BOOST, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Mega 290 Pro Alloy Bike (GX Eagle) 2021;3399,99;Mountain;14.6Kgs/32.2lbs (Tubeless);L, XL, M, XXL, S;SRAM GX Eagle 12-Speed;12 Speed;RockShox Lyrik Select + Charger 2.1 RC 170mm, 42mm Offset, BOOST, Debonair, Gloss Black;SRAM Guide RE
Vitus;Escarpe 27 CRX Mountain Bike 2021;3499,99;Mountain;14kg (tubeless setup);L, M, S, XL;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 36 Float Factory Series 27.5” Kashima coating, Grip2 damper, 36mm stanchions, 150mm travel, 110mm x 15mm QR axle 37mm rake;Shimano XT MT8120
Vitus;Escarpe 29 CRX Mountain Bike 2021;3499,99;Mountain;14.3kg (tubeless setup);XL, L, S, M;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 36 Float Factory Series 29” Kashima coating, Grip2 damper, 36mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano XT MT8120
Vitus;Vitesse EVO CRX eTap Road Bike (Red) 2020;3499,99;Road;7.65kg;XXL;SRAM RED eTap AXS D1 RD, 12-Speed, with Battery;24 Speed;Integrated UD Carbon Full Carbon tapered steerer, 100 x 12mm;SRAM RED eTap AXS D1 Hydraulic Flat Mount
Vitus;Sommet 27 CRX Mountain Bike 2021;3599,99;Mountain;15kg (tubeless setup);S, M, L, XL;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 38 Float EVOL Factory Series 27.5” Kashima coating, Grip2 damper, 38mm stanchions, 170mm travel, 110mm x 15mm QR axle 37mm rake;Shimano XT MT8120
Vitus;Sommet 29 CRX Mountain Bike 2021;3599,99;Mountain;15kg (tubeless setup);L, M, S, XL;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 38 Float EVOL Factory Series 29” Kashima coating, Grip2 damper, 38mm stanchions, 170mm travel, 110mm x 15mm QR axle 37mm rake;Shimano XT MT8120
Kona;Libre CR DL Adventure Road Bike 2021;3699;Road;8.2 kg;"52cm (20.5""), 56cm (22"")";SRAM Rival 1;11 Speed;Kona Verso Full Carbon Flat Mount Disc;SRAM Centerline 160mm
Vitus;Vitesse EVO CRS Di2 Road Bike (Ultegra) 2021;3699,99;Road;7.72kg (medium);S, M, XL, XXL, XS, L;Shimano Ultegra R8000 RD-R8050-GS, 11 Speed, Long Cage, Shadow;11 Speed;Vitesse EVO Carbon SL UD Carbon, UCI Approved, Tapered Steerer, 100 x 12mm, Flat Mount, Size Specific;Shimano Ultegra R8000 Disc ST-R8070, Hydraulic Disc, Flat Mount
Commencal;Clash Race Full Suspension Bike 2021;3799;Mountain;15.8kg / 34.13lbs;M, L, XL;SRAM GX Eagle, 12-speed;12 Speed;RockShox ZEB Ultimate 180mm travel, Charger 2.1 damper, DebonAir spring, high/low-speed compression;Shimano SLX, 4-piston, I-SPEC EV lever clamps, Shimano RT76 203mm 6-bolt rotors
Cube;Stereo 120 HPC SLT 29 Suspension Bike 2021;3799;Mountain;11.9 kg;M, XL, L;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 34 Float Factory FIT4, Open (Adjustable) / Medium / Firm Mode, Tapered, 15x110mm, 130mm, Kashima Coated;Shimano XT BR-M8100, Hydr.Disc Brake (180/180)
Cube;AMS 100 C:68 TM 29 Suspension Bike 2021;3999;Mountain;11.9kg;S;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 34 SC Float Factory FIT4, Open(Adjustable)/Medium/Firm Mode, Tapered, 15x110mm, 120mm travel, Kashima Coated;Shimano XT BR-M8120/M8100, Hydr. Disc Brake (180/180mm rotors)
Cube;Stereo 170 SL 29 Suspension Bike 2021;3999;Mountain;15.7 kg;L, M, XL;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 38 Float FIT GRIP2 Factory, Tapered, 15x110mm, 170mm, Kashima Coated;Shimano XT BR-M8120, Hydr.Disc Brake (203/180)
Cube;Litening C:68X Pro Road Bike 2021;3999;Road;7.5kg;"52cm (20.5""), 56cm (22""), 54cm (21""), 58cm (22.75""), 50cm (19.5""), 60cm (23.5"")";Shimano Ultegra Di2 RD-8050-DGS, 11-Speed;22 Speed;Litening C: 68X Aero, Integrated Cable Routing, Flat Mount Disc;Shimano Ultegra BR-R8070, Hydr. Disc Brake, Flat Mount (160/160)
Nukeproof;Mega 275 RS Carbon Bike (XO1 Eagle) 2020;3999,99;Mountain;14.4Kgs/31.6lbs (Tubeless);XL;SRAM X01 Eagle 12-Speed, Red;12 Speed;RockShox Lyrik Ultimate Charger 2 RC2 180mm, 46mm Offset, BOOST, Debonair, Gloss Red;SRAM Code RSC
Nukeproof;Mega 290 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;14.7Kgs/32.3lbs (Tubeless);XXL, L, M, S, XL;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 170mm, 44mm Offset, BOOST, Black (SHORT ID: D6F9);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Reactor 275 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;14.3 kg / 31.5lbs (Medium);M, XL, S, L;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 150mm, 44mm Offset, BOOST, Black (SHORT ID: D6GF);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Reactor 290 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;14.5 kg / 31.9lbs (Tubeless);L, XL, M;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 140mm, 44mm Offset, BOOST, Black (SHORT ID: D6GC);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Commencal;Meta AM 29 Team Suspension Bike 2021;4099;Mountain;15.9kg / 35lbs 0.9oz;M, L, XL;SRAM GX Eagle, 12-speed;12 Speed;RockShox ZEB Ultimate, Charger 2.1 damper, DebonAir spring, high/low-speed compression adjust, rebound adjust, 44mm offset, 38mm stanchions;SRAM Code RSC 4-piston, MatchMaker X clamps, SRAM CenterLine 200mm 6-bolt rotors
NS Bikes;Synonym TR 2 Suspension Bike 2021;4199,99;Mountain;12.4kg;L, XL;SRAM GX Eagle, 12-Speed;12 Speed;Fox Float 34 Step Cast Performance Grip, 120mm travel, 2pos remote lockout w/ Open Mode Adj, 110x15mm Boost, 1.5T, 44mm offset;SRAM Level T hydraulic disc
Nukeproof;Reactor 290 ST Factory Carbon Bike (XT) 2021;4299,99;Mountain;13.2 kg / 29lbs (Tubeless);L, XL, M;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 34 Float, Factory Series, Kashima, Grip 2 Damper, 130mm, 44mm Offset, BOOST, Black (SHORT ID: D6GS);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
NS Bikes;Synonym RC 2 Suspension Bike 2021;4399,9;Mountain;11.4kg;L, XL, M;SRAM GX Eagle, 12-Speed;12 Speed;Fox Float 32 Step Cast Performance Grip, 100mm travel, 2pos remote lockout w/ Open Mode Adj, 110x15mm Boost, 1.5T, 44mm offset;SRAM Level TL
Commencal;Meta AM 29 Ohlins Suspension Bike 2021;4499;Mountain;16kg / 35lbs 4.4oz;L, XL, M;Shimano Deore XT, 12-speed;12 Speed;Öhlins RXF36 M.2, air spring, TTX 18 damper, Ramp Up Chamber, high/low-speed compression adjust, rebound adjust, 44mm offset;Shimano Deore XT, 4-piston, I-SPEC EV clamps, Shimano MT900 203mm CentreLock Ice Technology Freeza rotors
Cube;Stereo 150 C:68 TM 29 Suspension Bike 2021;4799;Mountain;13.8kg;L, M;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 36 Float Factory FIT GRIP2, Tapered, 15x110mm, 160mm travel, Kashima Coated;Magura MT7, Hydr. Disc Brake (203/180mm rotors)
Vitus;Vitesse EVO CRX eTap AXS Road Bike (Red) 2021;4799,99;Road;7.8 kg;L, S, M, XL, XS, XXL;SRAM RED eTap AXS 12 Speed, Short Cage;12 Speed;Vitesse EVO Carbon SL UD Carbon, UCI Approved, Tpered Steerer, 100 x 12mm, Flat Mount, Size Specific;SRAM RED eTap AXS D1 Disc Hydraulic Disc, Flat Mount
Nukeproof;Dissent 297 RS Bike (X01 DH) 2021;4899,99;Mountain;16.64kg /36.6lbs (Tubeless);M, XL, L;SRAM XO1 DH 7-Speed, Red;7 Speed;RockShox Boxxer Ultimate, Charger 2, 200mm Travel, 46mm Offset, BOOST 20x110mm, Debonair, Boxxer Red;SRAM Code R, Sintered pads
Nukeproof;Reactor 275 Factory Carbon Bike (XT) 2021;4899,99;Mountain;14 kg / 30.85lbs (Medium);XL, M, L, S;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Factory Series, Kashima, Grip 2 Damper, 150mm, 44mm Offset, BOOST, Black (SHORT ID: D6GG);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Reactor 290 Factory Carbon Bike (XT) 2021;4899,99;Mountain;14.2Kgs/31.2lbs (Tubeless);M, L, XL;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Factory Series, Kashima, Grip 2 Damper, 140mm, 44mm Offset, BOOST, Black (SHORT ID: D6GD);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 275 Factory Carbon Bike (XT) 2021;4999,99;Mountain;14.8Kgs/32.5lbs (Tubeless);M, XL, L, XXL, S;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 38 Float, Factory Series, Kashima, Grip 2 Damper, 170mm, 37mm Offset, BOOST, Black (SHORT ID: D6G5);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 290 Factory Carbon Bike (XT) 2021;4999,99;Mountain;14.8Kgs/32.6lbs (Tubeless);L, S, M, XXL, XL;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 38 Float, Factory Series, Kashima, Grip 2 Damper, 170mm, 44mm Offset, BOOST, Black (SHORT ID: D33L);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 275 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;14.5Kgs/31.9lbs (Tubeless);M, XL, L, XXL, S;SRAM XO1 Eagle 12-Speed, Black;12 Speed;RockShox Zeb Ultimate Charger 2.1 RC2 170mm, 38mm Offset, BOOST, Debonair, Grey;SRAM Code RSC, Sintered pads
Nukeproof;Mega 290 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;14.4Kgs/31.8lbs (Tubeless);XXL, L, XL, S, M;SRAM XO1 Eagle 12-Speed, Black;12 Speed;RockShox Zeb Ultimate Charger 2.1 RC2 170mm, 44mm Offset, BOOST, Debonair, Grey;SRAM Code RSC, Sintered pads
Nukeproof;Reactor 275 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;13.9 kg / 30.6lbs (Medium);L, S, M, XL;SRAM X01 Eagle 12-Speed, Red;12 Speed;RockShox Lyrik Ultimate Charger 2 RC2 160mm, 46mm Offset, BOOST, Debonair, Gloss Red;SRAM Code RSC hydraulic disc brakes, sintered pads
Nukeproof;Reactor 290 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;13.9 kg / 30.6lbs (Tubeless);XL, M, L;SRAM X01 Eagle 12-Speed, Red;12 Speed;RockShox Lyrik Ultimate Charger 2 RC2 150mm, 42mm Offset, BOOST, Debonair, Gloss Red;SRAM Code RSC hydraulic disc brakes, sintered pads
NS Bikes;Synonym Race 1 Suspension Bike 2020;6299,99;Mountain;10.5kg (M size, tubeless setup);S;SRAM X01 Eagle Type 3 12-Speed;12 Speed;Fox Factory 32 Step Cast Float FIT4, 100mm travel, 2pos remote lockout w/ Open Mode Adj, push-to-unlock, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;SRAM Level TLM
NS Bikes;Synonym RC 1 Suspension Bike 2021;6299,99;Mountain;10.5kg;M, L;SRAM X01 Eagle, 12-Speed;12 Speed;Fox Float 32 Step Cast Factory FIT4, 100mm travel, 2pos remote lockout w/ Open Mode Adj, 110x15mm Boost, 1.5T, 44mm offset;SRAM Level TLM
